path                   TTFB   FCP    LCP    DCL    Load   idle   reqs  KB      CLS    CPU   
---------------------- ------ ------ ------ ------ ------ ------ ----- ------- ------ ------
/login                 38     228    288    169    169    987    11    2168.6  0.000  117   
/dashboard             38     192    1100   145    145    1655   37    2502.8  0.002  159   
/mail                  35     188    1120   151    151    1707   81    3257.7  0.009  305   
/admin                 79     236    608    194    194    1197   31    2280.8  0.000  130   
/admin/domains         36     180    484    142    142    999    18    2273.6  0.001  102   
/admin/accounts        39     188    508    150    150    1059   62    2282.1  0.015  119   
/admin/aliases         38     188    500    148    148    1059   22    2274.9  0.003  104   
/admin/apps            39     200    520    163    163    1059   22    2274.9  0.003  104   
/admin/groups          37     184    496    145    145    1061   26    2276.6  0.004  105   
/admin/email-groups    36     184    496    147    147    1059   22    2274.2  0.001  105   
/admin/queues          35     180    572    142    142    1140   18    2306.8  0.006  107   
/admin/audit-log       77     232    560    190    190    1097   18    2361.1  0.001  115   
/admin/system-config   36     180    480    141    142    998    18    2279.2  0.000  103   
/settings              36     184    496    144    145    1000   17    2195.1  0.000  99    
