path                   TTFB   FCP    LCP    DCL    Load   idle   reqs  KB      CLS    CPU   
---------------------- ------ ------ ------ ------ ------ ------ ----- ------- ------ ------
/login                 36     344    380    285    285    988    12    3140.3  0.000  157   
/dashboard             38     332    1004   266    266    2006   43    3452.1  0.002  212   
/mail                  39     332    984    269    269    1607   76    3284.5  0.010  502   
/admin                 85     376    772    330    330    1339   30    3227.1  0.000  184   
/admin/domains         42     536    836    487    487    1504   17    3220.0  0.001  164   
/admin/accounts        48     312    624    265    265    1274   61    3228.4  0.015  172   
/admin/aliases         47     380    692    331    331    1344   21    3221.2  0.003  152   
/admin/apps            45     372    692    327    327    1333   21    3221.2  0.003  146   
/admin/groups          46     344    648    293    293    1305   25    3222.9  0.004  146   
/admin/email-groups    56     316    628    273    273    1279   21    3220.5  0.001  142   
/admin/queues          36     288    664    248    248    1251   17    3253.2  0.006  150   
/admin/audit-log       36     296    632    254    254    1261   17    3307.4  0.001  156   
/admin/system-config   35     324    624    284    284    1289   17    3225.5  0.000  153   
/settings              37     300    608    254    254    1258   17    3165.8  0.000  144   
