path                   TTFB   FCP    LCP    DCL    Load   idle   reqs  KB      CLS    CPU   
---------------------- ------ ------ ------ ------ ------ ------ ----- ------- ------ ------
/login                 40     232    300    176    176    994    11    2234.2  0.000  118   
/dashboard             37     220    992    179    179    2001   40    2572.8  0.211  169   
/mail                  37     200    1120   153    153    1952   63    3488.8  0.062  323   
/admin                 38     208    596    162    162    1168   31    2346.8  0.000  144   
/admin/domains         38     192    500    154    154    1059   18    2339.7  0.001  111   
/admin/accounts        36     200    512    154    154    1058   62    2348.1  0.015  130   
/admin/aliases         36     196    504    154    154    1057   22    2340.9  0.003  110   
/admin/apps            38     200    512    159    159    1058   22    2340.9  0.003  110   
/admin/groups          35     196    500    150    150    1059   26    2342.6  0.004  117   
/admin/email-groups    36     228    540    187    187    1058   22    2340.2  0.001  107   
/admin/queues          36     196    568    150    150    1161   18    2373.7  0.006  118   
/admin/audit-log       36     192    528    152    152    1061   18    2427.1  0.001  134   
/admin/system-config   38     232    528    184    184    1061   18    2345.2  0.000  124   
/settings              66     300    612    256    256    1259   17    2260.8  0.000  114   
